trace_coda_end_sample,source_depth_km,source_latitude_deg,source_longitude_deg,source_magnitude,source_origin_time,trace_p_arrival_sample,trace_p_arrival_time,trace_p_arrival_uncertainty_s,trace_s_arrival_sample,trace_s_arrival_time,trace_s_arrival_uncertainty_s,trace_snr_db,station_elevation_m,station_latitude_deg,station_longitude_deg,station_code,trace_category,trace_name_original,split,trace_name,trace_causal,trace_polarity,ID_poligono
1919.0,5.874487305,31.20895877,-103.3374058,2.533329601,2019-04-04T23:57:40.926171Z,925.0,2019-04-04T23:57:46.288197Z,0.3000000119,1422.0,2019-04-04T23:57:51.259030Z,0.200000003,[11.29622832 26.21694372 29.5684908 ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gptf_PCOS_EV,train,"bucket268$496,:3,:6000",unknown,unknown,6
1378.0,5.2060791019999995,31.14800112,-103.4815464,1.801778423,2019-04-05T14:24:06.351393Z,458.0,2019-04-05T14:24:12.155313Z,0.5,918.0,2019-04-05T14:24:16.756500Z,0.3000000119,[ 1.20006271 10.34832409 17.98421435],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gqvu_PCOS_EV,test,"bucket271$4,:3,:6000",unknown,unknown,3
1342.0,5.514575195,31.29968215,-103.6063468,1.805342709,2019-04-05T15:44:08.049610Z,840.0,2019-04-05T15:44:11.173961Z,0.200000003,1091.0,2019-04-05T15:44:13.682982Z,0.3000000119,[ 8.72991828 23.30811018 20.83739211],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gqyl_PCOS_EV,train,"bucket268$537,:3,:6000",unknown,unknown,3
1492.0,5.231787109,31.51402046,-103.694316,1.240547802,2019-04-05T21:05:57.156065Z,800.0,2019-04-05T21:06:01.240777Z,0.3000000119,1146.0,2019-04-05T21:06:04.695406Z,0.200000003,[ 2.57401271 10.76942845  8.59460683],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019grjb_PCOS_EV,test,"bucket271$14,:3,:6000",unknown,unknown,1
1662.0,5.848779297,31.53151184,-103.4546202,1.939252447,2019-04-07T08:17:47.171260Z,1028.0,2019-04-07T08:17:49.891397Z,0.400000006,1345.0,2019-04-07T08:17:53.067303Z,0.3000000119,[26.13785349 39.915409   30.56746235],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019guas_PCOS_EV,train,"bucket268$570,:3,:6000",unknown,unknown,5
1313.0,6.157275391,31.54405713,-103.2524821,1.213699383,2019-04-07T12:34:31.576678Z,501.0,2019-04-07T12:34:37.662587Z,0.400000006,907.0,2019-04-07T12:34:41.716060Z,0.3000000119,[-0.35929453  6.66741534  9.97354306],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gujd_PCOS_EV,dev,"bucket269$803,:3,:6000",unknown,unknown,5
701.0,3.072314453,31.43320046,-103.5395652,1.632713056,2019-04-07T21:56:14.142509Z,549.0,2019-04-07T21:56:15.438360Z,0.1000000015,625.0,2019-04-07T21:56:16.199340Z,0.1000000015,[31.70039321 43.89896487 44.5209361 ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gvbs_PCOS_EV,train,"bucket268$584,:3,:6000",unknown,D,4
1156.0,6.080151367,31.21033008,-103.3331173,2.463502329,2019-04-08T08:20:39.541876Z,314.0,2019-04-08T08:20:45.555448Z,0.200000003,735.0,2019-04-08T08:20:49.765004Z,0.200000003,[22.60260378 42.99288299 47.94081425],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019gvwi_PCOS_EV,train,"bucket268$621,:3,:6000",unknown,unknown,6
1943.0,0.9899658203,31.17383819,-103.2453906,1.907014053,2019-04-11T04:15:27.833666Z,775.0,2019-04-11T04:15:34.548392Z,0.3000000119,1359.0,2019-04-11T04:15:40.386211Z,0.3000000119,[ 1.78449963 11.28236611 11.27019324],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hbat_PCOS_EV,test,"bucket271$75,:3,:6000",unknown,unknown,7
1275.0,4.332006836,31.37505408,-103.5103334,1.612983883,2019-04-11T13:50:44.899663Z,1035.0,2019-04-11T13:50:46.101844Z,0.1000000015,1155.0,2019-04-11T13:50:47.308976Z,0.1000000015,[17.29648575 31.73199661 27.48612015],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hbts_PCOS_EV,train,"bucket268$673,:3,:6000",unknown,U,4
1242.0,2.660986328,31.56273941,-103.6922353,2.086517958,2019-04-11T16:17:45.776506Z,418.0,2019-04-11T16:17:50.902075Z,0.3000000119,830.0,2019-04-11T16:17:55.018030Z,0.3000000119,[ 8.03588077 19.90945009 19.12517189],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hbyo_PCOS_EV,train,"bucket268$686,:3,:6000",unknown,unknown,1
1797.0,5.771655273,31.16500301,-103.4767137,1.931962651,2019-04-12T22:05:04.219920Z,987.0,2019-04-12T22:05:09.722711Z,0.3000000119,1392.0,2019-04-12T22:05:13.777925Z,0.200000003,[ 4.96422363 10.00243502 21.58479797],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hefn_PCOS_EV,train,"bucket268$745,:3,:6000",unknown,unknown,3
1331.0,5.128955078,31.29057093,-103.3583897,2.43371432,2019-04-14T05:30:56.525136Z,759.0,2019-04-14T05:31:00.691907Z,0.400000006,1045.0,2019-04-14T05:31:03.548934Z,0.3000000119,[ 1.14524498 13.84502884 13.68643207],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hgpt_PCOS_EV,dev,"bucket269$833,:3,:6000",unknown,unknown,6
1609.0,5.745947266,31.54212365,-103.2148597,1.425270199,2019-04-14T20:42:47.345483Z,749.0,2019-04-14T20:42:53.857215Z,0.400000006,1179.0,2019-04-14T20:42:58.164782Z,0.200000003,[ 3.81110745 16.7227036  10.8241    ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hhtv_PCOS_EV,train,"bucket268$774,:3,:6000",unknown,unknown,5
1601.0,5.514575195,31.29967809,-103.6165339,2.258667423,2019-04-14T21:02:55.731982Z,1079.0,2019-04-14T21:02:59.021660Z,0.3000000119,1340.0,2019-04-14T21:03:01.634253Z,0.3000000119,[17.28375548 31.11866651 29.12938811],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hhum_PCOS_EV,test,"bucket271$142,:3,:6000",unknown,unknown,3
1650.0,5.617407226999999,31.29691958,-103.6186769,1.783699077,2019-04-14T21:10:42.369712Z,1092.0,2019-04-14T21:10:45.604659Z,0.3000000119,1371.0,2019-04-14T21:10:48.398320Z,0.3000000119,[14.0008929  23.11811585 22.2324469 ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hhut_PCOS_EV,dev,"bucket269$837,:3,:6000",unknown,unknown,3
872.0,6.465771484,31.31094148,-103.6082291,1.539501584,2019-04-16T17:13:15.151390Z,306.0,2019-04-16T17:13:18.511454Z,0.3000000119,589.0,2019-04-16T17:13:21.341397Z,0.3000000119,[ 9.39959114 21.71026971 18.76206458],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hldx_PCOS_EV,dev,"bucket269$842,:3,:6000",unknown,unknown,3
1558.0,5.488867188,31.31407962,-103.409283,1.818418089,2019-04-16T18:41:26.838195Z,998.0,2019-04-16T18:41:29.715888Z,0.400000006,1278.0,2019-04-16T18:41:32.516209Z,0.3000000119,[ 4.46632785 18.35468942 18.435946  ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hlgv_PCOS_EV,train,"bucket268$829,:3,:6000",unknown,unknown,6
1988.0,5.0261230470000005,31.53577162,-103.2471342,1.846571639,2019-04-16T19:48:02.959095Z,1096.0,2019-04-16T19:48:09.030643Z,0.3000000119,1542.0,2019-04-16T19:48:13.492716Z,0.3000000119,[ 5.71714085 18.11189266 18.10147531],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hlja_PCOS_EV,dev,"bucket269$846,:3,:6000",unknown,unknown,5
1219.0,5.231787109,31.24476874,-103.5706856,1.946812199,2019-04-16T22:13:07.415372Z,609.0,2019-04-16T22:13:11.258030Z,0.200000003,914.0,2019-04-16T22:13:14.311864Z,0.200000003,[13.42560911 24.8999296  21.29549193],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hlnu_PCOS_EV,train,"bucket268$839,:3,:6000",unknown,unknown,3
1391.0,5.514575195,31.30289119,-103.6251148,2.241420722,2019-04-18T07:31:18.950669Z,871.0,2019-04-18T07:31:21.627026Z,0.400000006,1131.0,2019-04-18T07:31:24.221856Z,0.200000003,[18.12263569 31.47183922 31.91167297],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hobs_PCOS_EV,train,"bucket268$909,:3,:6000",unknown,unknown,3
1323.0,6.028735352,31.30335211,-103.6224342,1.725040185,2019-04-18T07:37:05.422119Z,771.0,2019-04-18T07:37:08.624430Z,0.200000003,1047.0,2019-04-18T07:37:11.381426Z,0.3000000119,[15.63139766 26.87167877 28.76483422],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hobx_PCOS_EV,train,"bucket268$922,:3,:6000",unknown,unknown,3
1421.0,5.797363281,31.23052141,-103.5497888,1.666089675,2019-04-18T09:32:18.728403Z,755.0,2019-04-18T09:32:22.662063Z,0.3000000119,1088.0,2019-04-18T09:32:25.993860Z,0.200000003,[10.9096407  23.89958671 26.17479711],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hofs_PCOS_EV,train,"bucket268$929,:3,:6000",unknown,unknown,3
1067.0,4.306298828,31.19787777,-103.5021251,1.723869914,2019-04-19T14:48:31.861640Z,329.0,2019-04-19T14:48:36.557201Z,0.3000000119,698.0,2019-04-19T14:48:40.244302Z,0.200000003,[ 5.68912873 14.20665744 25.09729288],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019hqlq_PCOS_EV,train,"bucket268$944,:3,:6000",unknown,unknown,3
646.0,5.437451172,31.27416368,-103.4892138,1.747801588,2019-04-21T02:54:15.854229Z,250.0,2019-04-21T02:54:19.285107Z,0.200000003,448.0,2019-04-21T02:54:21.274556Z,0.200000003,[ 7.6361646  21.62085547 20.50067947],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019htfc_PCOS_EV,train,"bucket268$986,:3,:6000",unknown,unknown,3
1157.0,5.745947266,31.54344906,-103.4406302,2.017977211,2019-04-21T15:59:05.248819Z,631.0,2019-04-21T15:59:08.741268Z,0.3000000119,894.0,2019-04-21T15:59:11.373192Z,0.3000000119,[13.22393303 25.84403498 20.30327474],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019huez_PCOS_EV,train,"bucket268$1000,:3,:6000",unknown,unknown,5
906.0,5.8230712890000005,31.52297475,-103.7015843,2.159732097,2019-04-21T17:57:25.168059Z,204.0,2019-04-21T17:57:29.524871Z,0.3000000119,555.0,2019-04-21T17:57:33.032032Z,0.200000003,[10.11141604 27.0607394  26.05351111],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019huiy_PCOS_EV,dev,"bucket269$872,:3,:6000",unknown,unknown,1
1372.0,5.848779297,31.37930124,-103.1703822,1.899615683,2019-04-24T20:44:38.277569Z,426.0,2019-04-24T20:44:44.733607Z,0.3000000119,899.0,2019-04-24T20:44:49.467126Z,0.200000003,[ 3.14606409 11.92383452  7.43546915],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iaax_PCOS_EV,dev,"bucket269$883,:3,:6000",unknown,unknown,5
923.0,3.612182617,31.3952753,-103.5081759,1.656826139,2019-04-25T07:10:25.358561Z,797.0,2019-04-25T07:10:26.451513Z,0.1000000015,860.0,2019-04-25T07:10:27.082553Z,0.1000000015,[32.39993401 42.72007002 33.87704981],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iavo_PCOS_EV,test,"bucket271$291,:3,:6000",unknown,D,4
1350.0,5.0261230470000005,31.51310776,-103.4320708,2.57853809,2019-04-26T02:46:07.507100Z,674.0,2019-04-26T02:46:10.271142Z,0.200000003,1012.0,2019-04-26T02:46:13.652474Z,0.200000003,[35.37890663 41.93530065 38.71025662],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019icii_PCOS_EV,train,"bucket270$90,:3,:6000",unknown,unknown,5
1952.0,5.231787109,31.59839508,-103.8192245,1.587010461,2019-04-26T08:56:31.587106Z,870.0,2019-04-26T08:56:38.344582Z,0.400000006,1411.0,2019-04-26T08:56:43.750475Z,0.3000000119,[ 5.11840693  9.61374704 12.40785077],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019icuo_PCOS_EV,test,"bucket271$308,:3,:6000",unknown,unknown,1
1586.0,5.874487305,31.29186639,-103.6133125,1.75975543,2019-04-27T07:03:39.603812Z,1020.0,2019-04-27T07:03:42.788152Z,0.200000003,1303.0,2019-04-27T07:03:45.621893Z,0.3000000119,[18.37652498 23.05621436 21.15291379],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iemj_PCOS_EV,test,"bucket271$310,:3,:6000",unknown,unknown,3
969.0,6.0544433589999995,31.52964651,-103.4255984,1.486351533,2019-04-27T08:41:01.058325Z,491.0,2019-04-27T08:41:04.628218Z,0.200000003,730.0,2019-04-27T08:41:07.018863Z,0.3000000119,[ 8.52598021 14.60384781 13.11842876],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iepm_PCOS_EV,test,"bucket271$314,:3,:6000",unknown,unknown,5
1420.0,5.5402832029999995,31.30352511,-103.4237769,2.808889198,2019-04-27T17:40:45.955213Z,940.0,2019-04-27T17:40:49.194644Z,0.200000003,1180.0,2019-04-27T17:40:51.594411Z,0.200000003,[18.32572356 36.00181534 38.65194528],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ifhj_PCOS_EV,train,"bucket270$135,:3,:6000",unknown,unknown,6
1498.0,6.362939453,31.30167252,-103.4109113,2.120870541,2019-04-27T17:47:09.617213Z,1066.0,2019-04-27T17:47:13.180936Z,0.200000003,1282.0,2019-04-27T17:47:15.339793Z,0.3000000119,[ 9.48158788 19.79725233 21.37700649],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ifho_PCOS_EV,train,"bucket270$146,:3,:6000",unknown,unknown,6
1597.0,2.789526367,31.19374641,-103.3122701,2.523674266,2019-04-28T08:49:00.596478Z,615.0,2019-04-28T08:49:07.272937Z,0.3000000119,1106.0,2019-04-28T08:49:12.180037Z,0.3000000119,[13.81721955 29.94114322 35.20031973],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019igli_PCOS_EV,train,"bucket270$177,:3,:6000",unknown,unknown,6
883.0,5.900195312,31.42814549,-103.5766123,1.730954263,2019-04-28T10:35:40.936176Z,535.0,2019-04-28T10:35:42.659026Z,0.200000003,709.0,2019-04-28T10:35:44.402467Z,0.200000003,[12.48776483 23.20993559 28.89083418],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019igov_PCOS_EV,train,"bucket270$192,:3,:6000",unknown,unknown,4
1365.0,5.848779297,31.31913576,-103.4098112,1.943037551,2019-04-28T21:49:11.142663Z,913.0,2019-04-28T21:49:14.294923Z,0.200000003,1139.0,2019-04-28T21:49:16.552848Z,0.200000003,[ 8.11110692 20.20205036 20.14310027],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ihlb_PCOS_EV,dev,"bucket269$912,:3,:6000",unknown,unknown,6
1350.0,5.5402832029999995,31.34581311,-103.42908,1.766210245,2019-04-29T01:32:38.116609Z,960.0,2019-04-29T01:32:40.539379Z,0.200000003,1155.0,2019-04-29T01:32:42.490134Z,0.200000003,[ 9.34034019 20.79117422 20.82949794],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ihsk_PCOS_EV,train,"bucket270$215,:3,:6000",unknown,unknown,6
1458.0,5.874487305,31.20363283,-103.5870173,1.682471857,2019-04-29T14:29:17.260844Z,710.0,2019-04-29T14:29:21.925645Z,0.200000003,1084.0,2019-04-29T14:29:25.663595Z,0.200000003,[11.30838092 11.67981639 25.72895751],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iisa_PCOS_EV,test,"bucket271$397,:3,:6000",unknown,unknown,3
905.0,5.5402832029999995,31.3697291,-103.4472899,1.623562389,2019-04-30T13:53:25.988293Z,571.0,2019-04-30T13:53:27.865286Z,0.200000003,738.0,2019-04-30T13:53:29.531759Z,0.200000003,[ 9.2199008  17.1293793  21.17750175],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ikmj_PCOS_EV,train,"bucket270$324,:3,:6000",unknown,unknown,4
1521.0,4.383422852,31.20040878,-103.5098898,1.709917567,2019-05-01T06:32:43.632482Z,801.0,2019-05-01T06:32:48.302244Z,0.400000006,1161.0,2019-05-01T06:32:51.909435Z,0.3000000119,[ 4.39725065  6.68528439 14.71408566],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ilti_PCOS_EV,train,"bucket270$388,:3,:6000",unknown,unknown,3
638.0,4.640502929999999,31.36587088,-103.544677,2.007911554,2019-05-02T20:46:38.959265Z,360.0,2019-05-02T20:46:40.507238Z,0.200000003,499.0,2019-05-02T20:46:41.899604Z,0.200000003,[30.07901883 42.60100706 31.83869499],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ioqz_PCOS_EV,train,"bucket270$423,:3,:6000",unknown,D,4
433.0,4.614794922,31.36793416,-103.5213366,1.675104126,2019-05-03T04:27:38.324340Z,143.0,2019-05-03T04:27:39.535883Z,0.200000003,288.0,2019-05-03T04:27:40.985322Z,0.1000000015,[23.70789234 35.51769671 28.14633873],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ipgf_PCOS_EV,train,"bucket270$434,:3,:6000",unknown,unknown,4
2311.0,2.63527832,31.11041753,-103.2466715,2.997177653,2019-05-03T23:40:06.533469Z,905.0,2019-05-03T23:40:13.985545Z,0.3000000119,1608.0,2019-05-03T23:40:21.023952Z,0.5,[ 9.8579503  29.23942474 28.14038106],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iqsg_PCOS_EV,dev,"bucket269$962,:3,:6000",unknown,unknown,7
2045.0,7.898885091,31.65435791,-104.3100943,2.769839902,2019-05-04T17:23:47.474207Z,271.0,2019-05-04T17:24:02.839241Z,0.3000000119,1158.0,2019-05-04T17:24:11.708462Z,0.3000000119,[ 7.68482244 13.89720607 15.03906818],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019isbh_PCOS_EV,test,"bucket271$509,:3,:6000",SWDdp,unknown,0
1209.0,5.231787109,31.19970541,-103.4817713,1.825664729,2019-05-06T00:07:23.337207Z,545.0,2019-05-06T00:07:28.467974Z,0.200000003,877.0,2019-05-06T00:07:31.794685Z,0.3000000119,[ 9.04971314 21.06509538 29.22794652],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iukd_PCOS_EV,train,"bucket270$523,:3,:6000",unknown,unknown,3
1005.0,5.0261230470000005,31.39548169,-103.4665807,2.228133125,2019-05-07T05:02:21.350554Z,751.0,2019-05-07T05:02:22.773420Z,0.200000003,878.0,2019-05-07T05:02:24.049132Z,0.3000000119,[24.73386396 39.80419764 40.88901696],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iwpj_PCOS_EV,test,"bucket271$533,:3,:6000",unknown,unknown,4
1342.0,5.0261230470000005,31.38629213,-103.4698097,2.141362263,2019-05-07T22:29:19.732354Z,1084.0,2019-05-07T22:29:21.181640Z,0.200000003,1213.0,2019-05-07T22:29:22.474366Z,0.200000003,[18.23843381 32.56673406 32.12792193],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019ixxx_PCOS_EV,test,"bucket271$563,:3,:6000",unknown,unknown,4
268.0,2.763818359,31.41939926,-103.4976941,1.514870854,2019-05-08T08:45:47.344545Z,146.0,2019-05-08T08:45:48.279641Z,0.1000000015,207.0,2019-05-08T08:45:48.893692Z,0.1000000015,[23.11615905 37.85296045 45.82105614],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019iysg_PCOS_EV,test,"bucket271$578,:3,:6000",unknown,D,4
1991.0,2.840942383,31.16611911,-103.2866428,2.820265729,2019-05-09T16:19:27.329248Z,979.0,2019-05-09T16:19:35.092205Z,0.3000000119,1485.0,2019-05-09T16:19:40.156639Z,0.3000000119,[11.27851311 22.19796179 25.57264818],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jbcs_PCOS_EV,train,"bucket270$704,:3,:6000",unknown,unknown,7
1646.0,4.614794922,31.24475039,-103.6296294,1.464448151,2019-05-10T20:11:24.798069Z,980.0,2019-05-10T20:11:29.162194Z,0.200000003,1313.0,2019-05-10T20:11:32.492354Z,0.3000000119,[ 3.0122538  17.57235406 19.08154377],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jdfw_PCOS_EV,train,"bucket270$757,:3,:6000",unknown,unknown,2
2231.0,2.8666503910000003,31.11561724,-103.2132091,3.05082346,2019-05-12T02:48:06.627221Z,781.0,2019-05-12T02:48:15.845693Z,0.3000000119,1506.0,2019-05-12T02:48:23.097405Z,0.3000000119,[19.32349814 35.46670724 35.3572586 ],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jfol_PCOS_EV,train,"bucket270$798,:3,:6000",unknown,unknown,7
1426.0,5.437451172,31.20523439,-103.5096194,2.057766208,2019-05-12T15:18:49.553770Z,692.0,2019-05-12T15:18:54.121836Z,0.200000003,1059.0,2019-05-12T15:18:57.786162Z,0.200000003,[18.06723074 24.2869236  33.94354448],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jgnf_PCOS_EV,test,"bucket271$640,:3,:6000",unknown,U,3
1345.0,4.769042969,31.22868263,-103.5455029,2.014661525,2019-05-12T18:35:37.896110Z,801.0,2019-05-12T18:35:42.048774Z,0.200000003,1073.0,2019-05-12T18:35:44.766872Z,0.200000003,[ 9.2121743  15.40261222 18.22774671],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jgts_PCOS_EV,train,"bucket270$839,:3,:6000",unknown,unknown,3
1608.0,5.231787109,31.38386092,-103.1585571,2.138625663,2019-05-13T03:00:34.885129Z,680.0,2019-05-13T03:00:41.605896Z,0.200000003,1144.0,2019-05-13T03:00:46.246504Z,0.3000000119,[ 9.07455262 26.824112   23.63274314],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jhkj_PCOS_EV,train,"bucket270$850,:3,:6000",unknown,unknown,5
1286.0,5.848779297,31.20890984,-103.5064035,1.98947599,2019-05-13T23:09:45.752266Z,584.0,2019-05-13T23:09:50.351239Z,0.200000003,935.0,2019-05-13T23:09:53.860957Z,0.3000000119,[ 9.11423469 18.69237376 28.02770802],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jiyg_PCOS_EV,test,"bucket271$667,:3,:6000",unknown,unknown,3
340.0,4.923291016,31.36239482,-103.4719788,1.748226719,2019-05-14T22:04:51.129043Z,100.0,2019-05-14T22:04:52.813522Z,0.200000003,220.0,2019-05-14T22:04:54.015174Z,0.200000003,[11.49695976 25.49531353 18.91391914],788.2,31.408922,-103.510147,PCOS,earthquake_local,texnet2019jkrp_PCOS_EV,dev,"bucket279$10,:3,:6000",unknown,unknown,4
